robot_id,keyframe_id,timestamp,x,y,z,qx,qy,qz,qw
robot_1,20,1027.259267329,10.6216716766,0.3819496334,-0.1606769413,-0.0049019717,0.0262016505,0.0227829237,0.9993849993
robot_1,21,1028.558192252,11.1762170792,0.3883739710,-0.1807756275,0.0075442800,0.0162693355,0.0279415753,0.9994486570
robot_1,22,1029.857480286,11.7017660141,0.4215775430,-0.1747739166,0.0140094729,0.0234742276,0.0639956817,0.9975757003
robot_1,23,1031.556640385,12.2475709915,0.4915653765,-0.1976667345,0.0214686636,0.0253870375,0.0846615434,0.9958549142
robot_1,24,1032.656279324,12.7603073120,0.5543157458,-0.1988432705,0.0225140955,0.0208237860,0.0547549836,0.9980287552
robot_1,25,1033.762260436,13.2761278152,0.5966964960,-0.2045533657,0.0163618382,0.0145260291,0.0345275663,0.9991642237
robot_1,26,1035.172447442,13.8509416580,0.6066780090,-0.2273995429,0.0256951265,0.0221667923,0.0350614935,0.9988088608
robot_1,27,1036.2793684,14.3571834564,0.6127552986,-0.2283915281,0.0304638259,0.0243466366,0.0317157805,0.9987358451
robot_1,28,1037.384839295,14.8799219131,0.6355844736,-0.2444453239,0.0301023535,0.0226788353,-0.0007677524,0.9992892146
robot_1,29,1038.491042374,15.4467229843,0.6353709698,-0.2427322716,0.0188390985,0.0127342828,0.0025882642,0.9997380972
robot_1,30,1039.795827388,15.9475011826,0.6565290689,-0.2769202888,0.0235259347,0.0132122692,0.0492035709,0.9984242320
robot_1,31,1040.800308227,16.5017013550,0.6834114790,-0.2511482835,0.0384837426,0.0159038566,0.0550888889,0.9976127744
robot_1,32,1041.903985261,17.0137577057,0.7025319338,-0.2690602839,0.0250110701,0.0244029649,0.0383154340,0.9986545444
robot_1,33,1043.00621724,17.5781078339,0.7437852025,-0.2602364421,0.0281882882,0.0201521236,0.0191332735,0.9992163181
robot_1,34,1044.209887265,18.1741447449,0.7480712533,-0.2782337666,0.0193542577,0.0151017746,0.0096130986,0.9996523857
robot_1,35,1045.312379359,18.7691974640,0.7840086222,-0.2800849080,-0.0079668891,0.0197886024,0.0008469844,0.9997720718
robot_1,36,1046.314714431,19.2726860046,0.8012310266,-0.2835503519,0.0004703993,0.0205682088,0.0517899282,0.9984460473
robot_1,37,1047.616259336,19.9303188324,0.8822504282,-0.2767589390,0.0034828456,0.0108367521,0.0705582947,0.9974427223
robot_1,38,1048.517691373,20.4404163361,0.9255947471,-0.3062621057,-0.0065537132,0.0570704602,0.0751206204,0.9955183864
robot_1,39,1049.619874238,20.8178520203,0.9319370985,-0.2988472581,0.0006264984,-0.0319036059,0.0355645902,0.9988577962
robot_1,40,1050.620349406,21.3578243256,0.9541171789,-0.2752025723,0.0202352088,0.0075535025,0.0158416536,0.9996411800
robot_1,41,1051.822515248,21.9388122559,0.9636963606,-0.2783179283,0.0078028878,0.0211874973,0.0128058791,0.9996630549
robot_1,42,1053.023571252,22.4955940247,0.9330503941,-0.3026438355,0.0284746811,0.0081834402,0.0079784319,0.9995291829
robot_1,43,1054.125058411,23.0116367340,0.9386751652,-0.2859381735,0.0255448036,0.0167437643,0.0154629275,0.9994138479
robot_1,44,1055.125395297,23.5113639832,0.9587116838,-0.3102953732,0.0240625348,0.0158619545,0.0444629267,0.9985952377
robot_1,45,1056.127051352,24.0195426941,0.9971513748,-0.3003425896,0.0181608275,0.0226919781,0.0248102117,0.9992696047
robot_1,46,1057.327533244,24.6129646301,0.9887715578,-0.2866665423,0.0199926123,0.0028481220,-0.0219068881,0.9995560646
robot_1,47,1058.328449248,25.1808261871,0.9940626025,-0.3154891729,0.0100979684,0.0368393213,0.0102011086,0.9992181063
robot_1,48,1059.428955315,25.7126445770,0.9678338170,-0.3164382875,0.0233631469,0.0135866022,0.0028923340,0.9996305108
robot_1,49,1060.529713391,26.2742614746,0.9800541997,-0.3258178830,0.0176271033,0.0311926976,0.0174512453,0.9992055893
robot_1,50,1061.630689382,26.8013973236,0.9607387781,-0.3434501588,0.0164859816,0.0225317404,0.0342435092,0.9990234971
robot_1,51,1062.631265401,27.3251571655,1.0216521025,-0.3456485569,0.0124354782,0.0174985230,0.0511764959,0.9984588623
robot_1,52,1063.631935357,27.8304290771,1.0565527678,-0.3370269537,0.0200296473,0.0169402678,0.0717301667,0.9970790744
robot_1,53,1064.632729291,28.3251228333,1.1376864910,-0.3440621197,0.0161930881,0.0097870361,0.1304745227,0.9912710786
robot_1,54,1065.636921405,28.8223209381,1.2399675846,-0.3416201174,0.0260276590,0.0076076956,0.1107255742,0.9934810400
robot_1,55,1066.643460273,29.3261032104,1.3359183073,-0.3421286643,0.0325220525,0.0117570069,0.1020809785,0.9941748381
